player_name,team,class_year,position,games_played,archetype_id,archetype_name,draft_probability,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct
Dynasti Pierce,William & Mary Tribe Women's,FR,G,25.0,1,Bench Guard/Wing,,566917,666961,767005,3.9,0.345,0.211,0.591,0.053,0.107,0.4,0.5,0.17,0.403
Marley Long,William & Mary Tribe Women's,SO,F,28.0,1,Bench Guard/Wing,,558562,657132,755702,3.4,0.4,0.227,0.733,0.075,0.094,0.2,0.6,0.139,0.448
Ari Mercado,William & Mary Tribe Women's,FR,G,24.0,1,Bench Guard/Wing,,532098,625998,719897,2.0,0.361,0.267,0.9,0.103,0.058,0.0,0.5,0.2,0.527
Sophia LeGoullon,William & Mary Tribe Women's,SO,G,18.0,1,Bench Guard/Wing,,531068,624786,718504,1.9,0.351,0.231,0.75,0.036,0.08,0.0,0.1,0.141,0.45
Abby Cater,Wichita State Shockers Women's,SR,G,30.0,0,Elite Two-Way Big,,570142,670756,771369,13.1,0.414,0.269,0.797,0.119,0.1,0.5,2.4,0.285,0.501
Jaila Harding,Wichita State Shockers Women's,SR,G,31.0,2,High-Volume Wing/Guard,,539390,634577,729763,11.3,0.351,0.333,0.814,0.086,0.03,0.1,0.6,0.18,0.497
Diamond Richardson,Wichita State Shockers Women's,SR,G,28.0,1,Bench Guard/Wing,,456570,537141,617712,6.5,0.349,0.239,0.732,0.194,0.093,0.0,0.8,0.257,0.445
Treasure Thompson,Wichita State Shockers Women's,SR,F,29.0,3,Interior Specialist,,448625,527794,606963,6.1,0.452,0.0,0.436,0.125,0.111,1.0,1.1,0.202,0.453
Bre'Yon White,Wichita State Shockers Women's,SR,F,31.0,1,Bench Guard/Wing,,431066,507137,583207,5.0,0.411,0.133,0.563,0.108,0.091,0.3,0.8,0.184,0.438
Jaida Mcdonald,Wichita State Shockers Women's,JR,F,29.0,3,Interior Specialist,,435764,512664,589563,5.3,0.508,0.0,0.468,0.109,0.107,0.4,0.6,0.167,0.505
Taya Davis,Wichita State Shockers Women's,SR,G,31.0,1,Bench Guard/Wing,,570331,670977,771624,4.1,0.261,0.157,0.61,0.275,0.064,0.1,1.0,0.161,0.34
Maimouna Sissoko,Wichita State Shockers Women's,SR,F,28.0,3,Interior Specialist,,576404,678122,779841,4.4,0.49,0.0,0.639,0.049,0.157,0.5,0.6,0.209,0.516
Kyleigh Ortiz,Wichita State Shockers Women's,SR,G,18.0,1,Bench Guard/Wing,,541365,636900,732435,2.5,0.306,0.295,1.0,0.095,0.027,0.0,0.3,0.141,0.45
Sophie Benharouga,Wichita State Shockers Women's,SR,F,17.0,3,Interior Specialist,,543000,638823,734647,2.6,0.422,0.214,0.6,0.107,0.11,0.4,0.2,0.192,0.464
Azjah Reeves,Wichita State Shockers Women's,JR,G,18.0,1,Bench Guard/Wing,,539306,634478,729649,2.4,0.294,0.19,0.45,0.153,0.025,0.1,0.4,0.236,0.355
Kailey Starks,Western Michigan Broncos Women's,SO,G,29.0,2,High-Volume Wing/Guard,,566520,666494,766468,12.9,0.383,0.276,0.766,0.121,0.075,0.1,1.4,0.277,0.477
Alli Carlson,Western Michigan Broncos Women's,SR,G,28.0,2,High-Volume Wing/Guard,,520004,611770,703535,10.2,0.351,0.344,0.655,0.297,0.066,0.0,1.6,0.197,0.466
D'Myjah Bolds,Western Michigan Broncos Women's,SO,F,27.0,3,Interior Specialist,,471471,554672,637873,7.4,0.519,0.278,0.566,0.131,0.129,1.0,0.6,0.183,0.558
Alli Harness,Western Michigan Broncos Women's,SO,G,28.0,1,Bench Guard/Wing,,458397,539290,620184,6.6,0.333,0.311,0.897,0.066,0.06,0.0,0.5,0.188,0.473
De'Ahna Richardson,Western Michigan Broncos Women's,SR,F,24.0,1,Bench Guard/Wing,,475204,559063,642923,7.6,0.367,0.3,0.545,0.096,0.09,0.4,0.8,0.195,0.449
Nile Muguira Orbe,Western Michigan Broncos Women's,JR,G,29.0,1,Bench Guard/Wing,,441602,519532,597461,5.7,0.279,0.245,0.778,0.166,0.045,0.1,0.9,0.171,0.386
Ariana Wilkes,Western Michigan Broncos Women's,SR,F,28.0,3,Interior Specialist,,428112,503661,579211,4.9,0.49,0.333,0.451,0.133,0.138,0.5,0.2,0.185,0.489
Mary Clare Brusek,Western Michigan Broncos Women's,SR,F,23.0,3,Interior Specialist,,540962,636426,731890,2.5,0.411,0.154,0.5,0.077,0.101,0.2,0.0,0.16,0.442
Emma Dibarboure,Western Michigan Broncos Women's,FR,F,17.0,1,Bench Guard/Wing,,516824,608029,699233,1.2,0.333,0.25,0.833,0.034,0.107,0.2,0.2,0.164,0.419
Olivia Flynn,Western Michigan Broncos Women's,FR,G,17.0,1,Bench Guard/Wing,,512458,602892,693326,0.9,0.333,0.364,1.0,0.126,0.026,0.0,0.2,0.104,0.576
Salma Khedr,Western Kentucky Lady Toppers Women's,SO,G,27.0,2,High-Volume Wing/Guard,,523373,615733,708093,10.4,0.417,0.269,0.753,0.18,0.078,0.9,1.3,0.284,0.501
Torri James,Western Kentucky Lady Toppers Women's,SO,F,29.0,3,Interior Specialist,,485805,571535,657265,8.2,0.52,0.0,0.678,0.084,0.083,0.8,0.7,0.18,0.558
Zsofia Telegdy,Western Kentucky Lady Toppers Women's,SR,F,29.0,1,Bench Guard/Wing,,484023,569439,654854,8.1,0.358,0.226,0.744,0.117,0.092,0.9,1.1,0.211,0.451
Trinity Rowe,Western Kentucky Lady Toppers Women's,SO,G,21.0,2,High-Volume Wing/Guard,,530401,624001,717601,10.8,0.397,0.422,0.8,0.316,0.032,0.0,1.5,0.194,0.532
Tia Shelling,Western Kentucky Lady Toppers Women's,SR,G,28.0,2,High-Volume Wing/Guard,,462665,544312,625958,6.9,0.407,0.222,0.62,0.209,0.078,0.1,2.6,0.204,0.454
Tatum Boettjer,Western Kentucky Lady Toppers Women's,JR,F,29.0,1,Bench Guard/Wing,,574240,675577,776913,4.3,0.339,0.325,0.5,0.036,0.06,0.4,0.2,0.132,0.492
Jeniffer Silva,Western Kentucky Lady Toppers Women's,SR,C,23.0,3,Interior Specialist,,436398,513409,590421,5.3,0.495,0.0,0.591,0.114,0.138,1.0,0.4,0.249,0.506
Mya Pratcher,Western Kentucky Lady Toppers Women's,SR,F,29.0,1,Bench Guard/Wing,,553181,650801,748422,3.1,0.299,0.143,0.714,0.077,0.105,0.3,0.6,0.167,0.368
Caleigh-Rose West,Western Kentucky Lady Toppers Women's,SR,F,27.0,1,Bench Guard/Wing,,536217,630844,725470,2.2,0.338,0.324,0.833,0.087,0.079,0.0,0.4,0.156,0.442
Enni Ahervuo,Western Kentucky Lady Toppers Women's,FR,G,19.0,1,Bench Guard/Wing,,550627,647796,744966,3.0,0.4,0.273,0.688,0.059,0.063,0.0,0.4,0.211,0.495
Yendri Acosta,Western Kentucky Lady Toppers Women's,SR,G,12.0,1,Bench Guard/Wing,,521281,613271,705262,1.4,0.318,0.125,0.4,0.053,0.041,0.1,0.8,0.214,0.349
Mia Nicastro,Western Illinois Leathernecks Women's,SR,G-F,32.0,0,Elite Two-Way Big,,770335,906277,1042219,24.1,0.518,0.377,0.896,0.085,0.167,0.8,1.4,0.313,0.602
Addi Brownfield,Western Illinois Leathernecks Women's,SR,G,32.0,0,Elite Two-Way Big,,556808,655069,753329,12.3,0.436,0.391,0.791,0.159,0.105,1.0,2.2,0.191,0.585
Allie Meadows,Western Illinois Leathernecks Women's,SR,G,32.0,1,Bench Guard/Wing,,471451,554649,637846,7.4,0.349,0.324,0.758,0.099,0.039,0.1,1.2,0.13,0.497
Madison Davis,Western Illinois Leathernecks Women's,SO,G,32.0,4,Efficient Role Player,,445331,523918,602506,5.9,0.552,0.36,0.81,0.089,0.131,0.2,0.7,0.138,0.644
